,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
37,2017-09-04 02:00:00.000,4411.97000000,4448.03000000,4340.50000000,4340.51000000,47.49089700,2017-09-04 03:59:59.999,209264.36234101,459,14.02380000,61999.73896222,12593.58538279
38,2017-09-04 04:00:00.000,4340.53000000,4467.00000000,4340.53000000,4402.00000000,89.92358400,2017-09-04 05:59:59.999,396297.29014114,488,43.87437800,193370.83643719,12413.93050265
39,2017-09-04 06:00:00.000,4402.02000000,4493.15000000,4052.00000000,4186.96000000,185.99001000,2017-09-04 07:59:59.999,792711.82602137,1128,58.10579400,247684.30182377,11952.21730808
40,2017-09-04 08:00:00.000,4102.05000000,4390.00000000,4075.00000000,4336.42000000,270.12966400,2017-09-04 09:59:59.999,1155269.59701064,1488,153.51405000,660079.75850249,11802.39021749
41,2017-09-04 10:00:00.000,4336.86000000,4437.68000000,4114.33000000,4153.00000000,194.55037400,2017-09-04 11:59:59.999,836465.89424233,1005,63.02723300,270347.11952263,11809.80182302
42,2017-09-04 12:00:00.000,4153.00000000,4311.14000000,4106.81000000,4275.19000000,118.51824600,2017-09-04 13:59:59.999,497500.42937114,766,58.82807100,248407.57039147,11739.72573281
43,2017-09-04 14:00:00.000,4275.19000000,4275.19000000,4014.76000000,4015.03000000,157.72298100,2017-09-04 15:59:59.999,650997.37717318,1231,63.63614700,263807.03340932,11683.16806510
44,2017-09-04 16:00:00.000,4015.03000000,4115.05000000,3972.52000000,3972.53000000,91.36519600,2017-09-04 17:59:59.999,367809.99647837,736,26.59777100,107416.01158786,11626.82925444
45,2017-09-04 18:00:00.000,3972.53000000,4224.99000000,3972.51000000,4203.67000000,63.67737000,2017-09-04 19:59:59.999,261943.81157450,395,33.65663200,138391.06302735,11616.36881101
46,2017-09-04 20:00:00.000,4187.00000000,4300.95000000,4121.02000000,4258.40000000,64.76224600,2017-09-04 21:59:59.999,272509.28648462,649,30.93544900,130343.39570357,11724.92053456
47,2017-09-04 22:00:00.000,4258.40000000,4258.40000000,4100.11000000,4100.11000000,76.67382100,2017-09-04 23:59:59.999,318891.07550746,658,21.17638200,88569.02829336,11672.89407588
48,2017-09-05 00:00:00.000,4106.97000000,4121.33000000,3620.00000000,3620.00000000,173.53247100,2017-09-05 01:59:59.999,678561.17321457,1082,56.94923300,225648.89393741,11398.74052230
49,2017-09-05 02:00:00.000,3659.50000000,4071.83000000,3603.00000000,3988.04000000,113.20482400,2017-09-05 03:59:59.999,445504.15483487,1267,67.36373200,265551.08485588,11485.30661283
50,2017-09-05 04:00:00.000,3996.24000000,4070.38000000,3943.10000000,3960.01000000,93.36138600,2017-09-05 05:59:59.999,372831.96459079,717,37.58185000,150131.33560913,11108.31141835
51,2017-09-05 06:00:00.000,3966.83000000,4190.40000000,3960.01000000,4190.40000000,120.47303500,2017-09-05 07:59:59.999,490375.93166652,1345,43.93288100,179350.86806314,11148.86503199
52,2017-09-05 08:00:00.000,4190.00000000,4217.23000000,4050.00000000,4120.05000000,156.21156000,2017-09-05 09:59:59.999,645230.23828928,1127,62.01614700,256281.25811982,11472.09583202
53,2017-09-05 10:00:00.000,4120.40000000,4248.60000000,4096.07000000,4246.82000000,65.90284900,2017-09-05 11:59:59.999,275464.89934895,650,36.19181200,151536.22050338,11633.76877681
54,2017-09-05 12:00:00.000,4248.64000000,4297.63000000,4192.29000000,4261.04000000,109.87701100,2017-09-05 13:59:59.999,467694.65773755,792,45.89882400,195478.51017753,11745.45858991
